#t_s,value
0.378000,-0.057998
0.379000,-0.057986
0.380000,-0.058104
0.381000,-0.058336
0.382000,-0.058663
0.383000,-0.059069
0.384000,-0.059533
0.385000,-0.060034
0.386000,-0.060555
0.387000,-0.061071
0.388000,-0.061561
0.389000,-0.062005
0.390000,-0.062382
0.391000,-0.062672
0.392000,-0.062853
0.393000,-0.062908
0.394000,-0.062817
0.395000,-0.062564
0.396000,-0.062135
0.397000,-0.061514
0.398000,-0.060689
0.399000,-0.059651
0.400000,-0.058390
0.401000,-0.056900
0.402000,-0.055176
0.403000,-0.053217
0.404000,-0.051021
0.405000,-0.048591
0.406000,-0.045932
0.407000,-0.043048
0.408000,-0.039950
0.409000,-0.036647
0.410000,-0.033153
0.411000,-0.029482
0.412000,-0.025650
0.413000,-0.021675
0.414000,-0.017577
0.415000,-0.013377
0.416000,-0.009097
0.417000,-0.004761
0.418000,-0.000393
0.419000,0.003983
0.420000,0.008341
0.421000,0.012654
0.422000,0.016898
0.423000,0.021047
0.424000,0.025075
0.425000,0.028957
0.426000,0.032669
0.427000,0.036189
0.428000,0.039492
0.429000,0.042561
0.430000,0.045373
0.431000,0.047912
0.432000,0.050161
0.433000,0.052107
0.434000,0.053737
0.435000,0.055041
0.436000,0.056010
0.437000,0.056639
0.438000,0.056926
0.439000,0.056868
0.440000,0.056466
0.441000,0.055724
0.442000,0.054648
0.443000,0.053246
0.444000,0.051527
0.445000,0.049504
0.446000,0.047192
0.447000,0.044606
0.448000,0.041764
0.449000,0.038685
0.450000,0.035390
0.451000,0.031903
0.452000,0.028246
0.453000,0.024443
0.454000,0.020520
0.455000,0.016501
0.456000,0.012414
0.457000,0.008284
0.458000,0.004137
0.459000,-0.000000
0.460000,-0.004103
0.461000,-0.008144
0.462000,-0.012103
0.463000,-0.015955
0.464000,-0.019677
0.465000,-0.023248
0.466000,-0.026651
0.467000,-0.029868
0.468000,-0.032881
0.469000,-0.035676
0.470000,-0.038243
0.471000,-0.040568
0.472000,-0.042645
0.473000,-0.044468
0.474000,-0.046031
0.475000,-0.047333
0.476000,-0.048373
0.477000,-0.049152
0.478000,-0.049676
0.479000,-0.049949
0.480000,-0.049980
0.481000,-0.049776
0.482000,-0.049350
0.483000,-0.048713
0.484000,-0.047880
0.485000,-0.046865
0.486000,-0.045684
0.487000,-0.044355
0.488000,-0.042896
0.489000,-0.041323
0.490000,-0.039657
0.491000,-0.037916
0.492000,-0.036119
0.493000,-0.034285
0.494000,-0.032433
0.495000,-0.030581
0.496000,-0.028745
0.497000,-0.026944
0.498000,-0.025192
0.499000,-0.023505
0.500000,-0.021895
0.501000,-0.020375
0.502000,-0.018957
0.503000,-0.017648
0.504000,-0.016457
0.505000,-0.015391
0.506000,-0.014453
0.507000,-0.013647
0.508000,-0.012972
0.509000,-0.012430
0.510000,-0.012017
0.511000,-0.011730
0.512000,-0.011564
0.513000,-0.011511
0.514000,-0.011564
0.515000,-0.011713
0.516000,-0.011946
0.517000,-0.012254
0.518000,-0.012622
0.519000,-0.013038
0.520000,-0.013487
0.521000,-0.013956
0.522000,-0.014428
0.523000,-0.014888
0.524000,-0.015324
0.525000,-0.015718
0.526000,-0.016058
0.527000,-0.016329
0.528000,-0.016518
0.529000,-0.016611
0.530000,-0.016601
0.531000,-0.016473
0.532000,-0.016221
0.533000,-0.015836
0.534000,-0.015312
0.535000,-0.014644
0.536000,-0.013831
0.537000,-0.012868
0.538000,-0.011758
0.539000,-0.010501
0.540000,-0.009104
0.541000,-0.007570
0.542000,-0.005905
0.543000,-0.004121
0.544000,-0.002226
0.545000,-0.000233
0.546000,0.001845
0.547000,0.003993
0.548000,0.006195
0.549000,0.008434
0.550000,0.010693
0.551000,0.012953
0.552000,0.015194
0.553000,0.017396
0.554000,0.019541
0.555000,0.021607
0.556000,0.023576
0.557000,0.025427
0.558000,0.027141
0.559000,0.028700
0.560000,0.030087
0.561000,0.031285
0.562000,0.032278
0.563000,0.033054
0.564000,0.033599
0.565000,0.033904
0.566000,0.033959
0.567000,0.033757
0.568000,0.033293
0.569000,0.032565
0.570000,0.031574
0.571000,0.030317
0.572000,0.028801
0.573000,0.027032
0.574000,0.025017
0.575000,0.022767
0.576000,0.020294
0.577000,0.017614
0.578000,0.014741
0.579000,0.011696
0.580000,0.008499
0.581000,0.005169
0.582000,0.001733
0.583000,-0.001788
0.584000,-0.005367
0.585000,-0.008977
0.586000,-0.012591
0.587000,-0.016184
0.588000,-0.019725
0.589000,-0.023188
0.590000,-0.026545
0.591000,-0.029769
0.592000,-0.032834
0.593000,-0.035715
0.594000,-0.038386
0.595000,-0.040826
0.596000,-0.043012
0.597000,-0.044926
0.598000,-0.046549
0.599000,-0.047867
0.600000,-0.048865
